onset	duration	trial_type	
0	10	CategoryFluency	
10	12	RatePoem	
22	8	RecallFace	
30	12	MoralPersonal	
42	6	Flag	
48	10	CalcHard	
58	6	RateDeliciousPic	
64	6	AnimalPhoto	
70	2	FeedbackPos	
72	6	RateBeautyPic	
78	10	RateBeautySound	
88	8	RateNoisy	
96	8	PressOrdEasy	
104	6	RateDisgustPic	
110	10	RateDisgustMov	
120	6	MapIcon	
126	6	RecallTaskHard	
132	8	DetectDifference	
140	10	MusicCategory	
150	8	ImagineFuture	
158	12	RelationLogic	
170	10	RestClose	
180	8	EyeMoveEasy	
188	6	TrafficSign	
194	2	FeedbackPos	
196	8	Sarcasm	
204	2	FeedbackPos	
206	6	RateSexyPicF	
212	6	StateMap	
218	6	MemoryNameHard	
224	8	MatchNameHard	
232	6	WordMeaning	
238	10	RecallKnowledge	
248	6	WorldPlace	
254	10	RateSexyMovM	
264	10	RestOpen	
274	8	PressRight	
282	8	SoundRight	
290	8	DecidePresent	
298	6	MemoryNameEasy	
304	8	MatchNameEasy	
312	12	MoralImpersonal	
324	6	RateSleepy	
330	6	MirrorImage	
336	6	MapIcon	
342	2	FeedbackPos	
344	10	RateSexyMovF	
354	6	DailyPhoto	
360	6	DomesiticName	
366	6	EmotionVoice	
372	2	FeedbackPos	
374	8	RecallPast	
382	8	Money	
390	6	Rhythm	
396	2	FeedbackPos	
398	6	RateHappyPic	
404	8	RateNoisy	
412	8	RecallFace	
420	8	DecidePeople	
428	10	RateDeliciousMov	
438	12	RelationLogic	
450	6	SoundPlace	
456	6	RateDeliciousPic	
462	6	RateDisgustSound	
468	8	DecideFood	
476	6	RecallTaskHard	
482	2	FeedbackPos	
484	6	WordMeaning	
490	2	FeedbackPos	
492	10	RatePainfulMov	
502	8	DetectTargetPic	
510	8	EyeMoveEasy	
518	8	TimeSound	
526	2	FeedbackPos	
528	6	MemoryNameHard	
534	8	MatchNameHard	
542	8	PressOrdEasy	
